,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
16904,19715,DCAF8L1,ENSG00000226372,0.05355091020464897,0.0007205431203042333,0.0043009567615657366,4,1
11478,12112,ACER1,ENSG00000167769,0.040330736835797625,5.905583661649916e-17,2.1759435085038553e-15,30,1
6945,7305,OR1J1,ENSG00000136834,0.03962892889976501,0.00039596369822212524,0.002575539978963289,5,1
13892,14815,ZNF716,ENSG00000182111,0.03567816088685677,1.5158448771941744e-22,8.403436065374921e-21,42,1
16901,19712,OR52I2,ENSG00000226288,0.03536696093423026,8.167529896791792e-05,0.0006340941411950389,7,1
17565,21412,,ENSG00000262164,0.03383823111653328,0.001999545828953282,0.010473206237291274,4,1
12052,12725,KRT75,ENSG00000170454,0.033452844992280004,2.7041091827465424e-06,2.9327132213160446e-05,10,1
12883,13666,OR10AG1,ENSG00000174970,0.030302441120147704,0.0034832726105507245,0.016843095727944395,5,1
14376,15388,OR51M1,ENSG00000184698,0.03027164563536644,9.947265695829835e-15,3.1306255648264454e-13,31,1
13839,14750,OR5T2,ENSG00000181718,0.030094970017671585,0.005526547504432706,0.024829059023632243,3,1
1918,2004,OR1I1,ENSG00000094661,0.029613908587230578,6.2056797572553e-18,2.4833678286870653e-16,36,1
12231,12928,ESCO2,ENSG00000171320,0.02877766375972347,2.4778339783616012e-76,7.48636239328985e-74,182,1
13803,14707,UTS2R,ENSG00000181408,0.02820710341135661,0.006644693114879319,0.02895552807368565,3,1
17781,23700,CT45A10,ENSG00000269586,0.027440813928842546,0.0004715182132238601,0.0029970835095799917,10,1
13885,14806,OR52A1,ENSG00000182070,0.02734030864160994,2.254029738936864e-11,5.082220286995954e-10,23,1
15448,16644,OR14A16,ENSG00000196772,0.02719537355005741,0.005294183985532726,0.02396328771279332,4,1
14779,15852,OR10H1,ENSG00000186723,0.026894071632448363,1.0956553336550576e-16,3.9644790196604556e-15,34,1
17827,24003,,ENSG00000272805,0.026884625665843487,0.0013042682978305707,0.007208468202156276,4,1
16344,17901,OR51A4,ENSG00000205497,0.026044270396232604,0.003911929146935803,0.01854483566308897,5,1
2493,2605,LUZP4,ENSG00000102021,0.02604374165336291,0.0007218229843102556,0.004304344427492208,6,1
12484,13214,OR10H5,ENSG00000172519,0.025918702205473727,6.89822328916218e-18,2.742346311095e-16,55,1
