,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
18265,24896,MIR6764,ENSG00000283840,0.03684006631374359,0.01497561678705376,0.04334536849367289,2,1
12945,13666,OR10AG1,ENSG00000174970,0.017719021067023277,0.006986193457182722,0.022576461619827706,8,1
16466,17894,KRTAP10-2,ENSG00000205445,0.01735118528207143,0.0036442138595207366,0.012827856657356926,3,1
18225,24672,TEX13C,ENSG00000282815,0.016758909821510314,0.0156825888747031,0.04511389231354816,5,1
13983,14806,OR52A1,ENSG00000182070,0.01650030044838786,6.131774481820981e-12,7.075658709796697e-11,20,1
14884,15852,OR10H1,ENSG00000186723,0.016276821375210235,1.0872532383281861e-24,2.526726917361929e-23,47,1
18331,25359,,ENSG00000286112,0.016067748029644672,3.694283801328207e-07,2.6113487964978414e-06,13,1
13198,13939,DCAF4L2,ENSG00000176566,0.015952451154589653,0.011406272154417777,0.034444236861561985,3,1
13991,14815,ZNF716,ENSG00000182111,0.015672448021359742,5.212675593495656e-38,1.7667212510598216e-36,80,1
14490,15406,SATL1,ENSG00000184788,0.014092532296975454,0.005803092539856084,0.019183769613622923,3,1
18322,25261,,ENSG00000285188,0.013671844917005056,2.8732560113241786e-38,9.865921764726618e-37,73,1
1925,2004,OR1I1,ENSG00000094661,0.013166919121878189,2.2663207848786613e-26,5.630793754950561e-25,57,1
18068,24198,,ENSG00000274559,0.012778526172041893,0.0012247534645121669,0.004836760612813933,4,1
13932,14750,OR5T2,ENSG00000181718,0.012475373844305674,6.433716681525022e-05,0.0003286949820909523,9,1
16784,18688,AS3MT,ENSG00000214435,0.01213137503890764,6.705407606196458e-11,7.049905611652424e-10,21,1
9065,9511,MEPE,ENSG00000152595,0.012012782196203867,0.009570077825987964,0.029576427948308663,3,1
18313,25213,OR8S1,ENSG00000284723,0.011910834970573584,0.010714550478862446,0.03264030529663097,6,1
11522,12112,ACER1,ENSG00000167769,0.011840459205350786,1.4243762361368368e-25,3.4185029667284085e-24,53,1
13243,13995,OR51H1,ENSG00000176904,0.011720723162094751,0.011945598083530287,0.035789948767910355,6,1
6377,6676,RXFP2,ENSG00000133105,0.011414463321367899,0.008107807664807712,0.02564512012108232,3,1
12280,12928,ESCO2,ENSG00000171320,0.011208503435958516,3.2809431257030327e-97,3.117065966471026e-95,275,1
15351,16407,TBC1D28,ENSG00000189375,0.01097266903767983,0.0016871392071773172,0.006478614555560897,6,1
16838,18768,GOLGA6B,ENSG00000215186,0.01079923907915751,0.005521282614070524,0.018383555113781938,3,1
12339,12994,RAB4B-EGLN2,ENSG00000171570,0.010732840763677547,1.0460344912820284e-103,1.0836208153755521e-101,328,1
18335,25398,,ENSG00000288534,0.010672193072036484,6.287550379668551e-191,1.3563355736659124e-188,543,1
17766,21580,,ENSG00000263057,0.010605365570102419,2.9601187395328755e-07,2.1160521328684137e-06,21,1
8131,8517,CCDC150,ENSG00000144395,0.010589847847688617,5.269393060362902e-44,2.0778406699960037e-42,114,1
15428,16499,CGB7,ENSG00000196337,0.010515948136647543,0.006631065949818488,0.021561841683963787,3,1
12536,13214,OR10H5,ENSG00000172519,0.010500766185892595,4.250943933424633e-28,1.1395512860127788e-26,74,1
18274,24934,MIR4709,ENSG00000283944,0.010466990554157425,8.332600531033871e-06,4.952562831022271e-05,17,1
17251,20159,AMY1A,ENSG00000237763,0.010446029404799143,0.0014909162934833831,0.0058004330908787,6,1
7998,8380,FLG2,ENSG00000143520,0.010413745152098792,3.741471160227838e-05,0.00019977756317395934,14,1
14476,15388,OR51M1,ENSG00000184698,0.010403817243598125,1.460397174614023e-10,1.4876579218734847e-09,27,1
13678,14466,MRGPRX3,ENSG00000179826,0.010298609733581543,0.007125395926556273,0.022961557066667103,3,1
12572,13254,OR4D9,ENSG00000172742,0.01021546192248078,1.293244786351719e-268,4.560180077412524e-266,850,1
