"Gene_Symbol"	"N"	"Beta"	"SE"	"tval"	"df"	"pval"	"ci.lb"	"ci.ub"	"adjP"
"A4GALT"	58	0.292916803917873	0.0962213991770757	3.04419605641797	57	0.00352697279012843	0.100236775621127	0.485596832214619	0.0121899829278013
"AAAS"	68	-0.243271619113447	0.0488210912414197	-4.98292055600461	67	4.66957897688082e-06	-0.340718925083952	-0.145824313142942	3.59031545459862e-05
"AACS"	70	0.0579333214298669	0.0447644379557324	1.29418181207049	69	0.199917501449584	-0.0313692888297739	0.147235931689508	0.334842489836008
"AACSP1"	21	0.50883230585566	0.228919980646258	2.22275182978432	20	0.037925249202275	0.0313135938787566	0.986351017832563	0.0911134326020913
"AADAT"	55	-0.326538933427393	0.0669908993238088	-4.87437751580295	54	9.98397872865327e-06	-0.460847599978788	-0.192230266875997	7.03956186137911e-05
"AAGAB"	70	-0.337895997236081	0.0487892946815446	-6.92561758561139	69	1.81373995418699e-09	-0.435227976967345	-0.240564017504818	3.74254694546752e-08
"AAK1"	58	-0.0376433557263883	0.110112454683139	-0.341862833180055	57	0.733711357318856	-0.25813974286712	0.182853031414343	0.824143474176973
"AAMDC"	70	0.10970263040921	0.0615568117473262	1.7821363273249	69	0.0791266536831693	-0.0130998489547377	0.232505109773158	0.164512834567444
"AAMP"	70	-0.174526667484066	0.0469477320573545	-3.71746748641346	69	0.000405444994448274	-0.268184830301569	-0.0808685046665638	0.001842946898945
"AAR2"	70	-0.240662455638146	0.0442668528453765	-5.43662899368013	69	7.7135363696986e-07	-0.328972410763257	-0.152352500513035	7.296446215465e-06
"AARS"	70	-0.0758852192737327	0.0698479489152387	-1.08643446876043	69	0.281067716630831	-0.215228064716833	0.0634576261693673	0.430083308021345
"AARS2"	70	-0.283389529443571	0.0452009065534347	-6.26955410968494	69	2.72568535565943e-08	-0.373562870731037	-0.193216188156106	3.98478284270579e-07
"AARSD1"	62	-0.373684240408056	0.0532102318684782	-7.02278917580562	61	2.1174517049055e-09	-0.480084675015314	-0.267283805800798	4.27003612409441e-08
"AASDH"	68	0.0759004371694216	0.0530497843739647	1.43073978650649	67	0.157152432686871	-0.0299873756202526	0.181788249959096	0.280464384115828
"AASDHPPT"	70	-0.342788885588377	0.0484151354166642	-7.08020090490941	69	9.51718357104781e-10	-0.439374438009648	-0.246203333167107	2.1175073941968e-08
"AASS"	69	-0.0731101960124176	0.0724834233295679	-1.00864711756231	68	0.316719628975103	-0.217748615310247	0.0715282232854123	0.468609578883599
"AATF"	70	-0.243633153839206	0.0517676173397756	-4.70628486221657	69	1.25781277704729e-05	-0.346906724702217	-0.140359582976194	8.62200340558188e-05
"AATK"	51	0.588246201288089	0.162469347549314	3.62065959001614	50	0.000685342770484393	0.261916912830849	0.91457548974533	0.00291342915578475
"ABAT"	50	-0.185557245125078	0.127420215832505	-1.4562622101425	49	0.151698286338038	-0.441617755571743	0.0705032653215876	0.273108626536025
"ABCA11P"	64	-0.0236046892286587	0.066783280087826	-0.353452079586633	63	0.724929593591423	-0.157060425390679	0.109851046933362	0.818382016644356
"ABCA2"	60	0.356404971024594	0.0608687764459457	5.85530039923011	59	2.24525467842393e-07	0.234606830686369	0.47820311136282	2.44618071104124e-06
"ABCA3"	64	-0.163216620102219	0.0855618583123925	-1.90758619928875	63	0.0610053477001521	-0.334198350461288	0.00776511025685031	0.133862956047559
"ABCA5"	66	0.398276144954631	0.0739803844619347	5.38353710718491	65	1.07501928455208e-06	0.250527114668287	0.546025175240976	9.8172407451355e-06
"ABCA7"	65	0.021927128560632	0.118191361203566	0.18552226099559	64	0.853406143469117	-0.214187258599905	0.25804151572117	0.908317982555153
"ABCB10"	69	-0.269649878498624	0.0548042077776181	-4.92024042374257	68	5.77494607793217e-06	-0.379009972430486	-0.160289784566761	4.33648794518251e-05
"ABCB11"	63	0.078697364001978	0.0739456283798084	1.06425985857829	62	0.291338414114698	-0.0691178409383941	0.22651256894235	0.440973640524887
