,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
16518,17815,OR5D16,ENSG00000205029,0.06196081762512525,0.0027947084377608193,0.008922028990353615,3,1
11465,11998,OR51I1,ENSG00000167359,0.05426311741272608,0.002787216471400703,0.008901741556586412,3,1
18088,22446,MIR4324,ENSG00000265407,0.04709886014461517,0.01716879752420214,0.043575865315779644,2,1
18563,24896,MIR6764,ENSG00000283840,0.04446861147880554,0.0006840455484976316,0.002494486991394529,4,1
16051,17121,LINC02692,ENSG00000198454,0.04334012884646654,0.01655600127903517,0.04220999916201616,2,1
15128,16054,SSX7,ENSG00000187754,0.041908614337444305,0.015833296339772596,0.040617172078657775,2,1
12211,12795,OR10A4,ENSG00000170782,0.03717544302344322,0.015764270671105775,0.04047817969337483,2,1
18255,23863,UGT2A2,ENSG00000271271,0.03548140451312065,0.017603086177802214,0.04453472067302573,2,1
16252,17345,MIR30E,ENSG00000198974,0.03464137017726898,0.01675735218391841,0.042651287687168325,2,1
17951,21497,OR1D5,ENSG00000262628,0.03382674790918827,0.01690554627429498,0.04298321972322952,2,1
14593,15443,OR6C70,ENSG00000184954,0.033652953803539276,0.017898329217820384,0.04521224085617008,2,1
16437,17658,PRAMEF19,ENSG00000204480,0.03180031478404999,0.016684797797305407,0.04248144580652378,2,1
17175,19543,MIR1468,ENSG00000222532,0.030234639532864094,0.017599583348360526,0.04453472067302573,2,1
5502,5732,DEFB129,ENSG00000125903,0.029863957315683365,0.017716674131511213,0.04477761604957324,2,1
16560,17870,OR6C68,ENSG00000205327,0.029352471232414246,0.019365507677921927,0.0484042779111494,2,1
5663,5903,OR7C2,ENSG00000127529,0.029060814529657364,0.0030097698214774024,0.009527108544320328,4,1
14028,14781,OR4C6,ENSG00000181903,0.028831761330366135,0.006114657159190445,0.01775315117325248,4,1
17233,19715,DCAF8L1,ENSG00000226372,0.027393236756324768,0.004843098933903294,0.01447345068972381,8,1
16711,18165,MIR200C,ENSG00000207713,0.027242193619410198,0.012963140810566782,0.03416074107120126,3,1
13564,14276,OR6B3,ENSG00000178586,0.027201414108276367,0.015971761510694665,0.04090489566148263,4,1
18506,24668,TEX13D,ENSG00000282419,0.02715030312538147,0.018271349104863267,0.04600504308416523,3,1
18138,22732,MIR4423,ENSG00000266110,0.02596968784928322,0.009020723011085103,0.024992827228930665,3,1
17995,21751,MIR4632,ENSG00000263676,0.025847598910331726,0.018453120682249052,0.04640636548932174,2,1
16760,18366,MIR190A,ENSG00000211137,0.025709856301546097,0.018895802131321447,0.04741738404659201,2,1
13002,13666,OR10AG1,ENSG00000174970,0.024899291877563182,7.58266224863229e-05,0.0003325322621844384,13,1
17230,19712,OR52I2,ENSG00000226288,0.024585121497511863,0.00041261296347390756,0.0015751550528688859,10,1
16707,18139,MIR28,ENSG00000207651,0.024419307708740234,0.01911181946959547,0.047856488365895254,2,1
16586,17899,OR52J3,ENSG00000205495,0.023594491183757782,0.00594891728649172,0.017325861802081396,4,1
16695,18080,MIR30B,ENSG00000207582,0.023329195256034534,0.014549958703727784,0.037761088930676,3,1
18509,24672,TEX13C,ENSG00000282815,0.022288987620009318,0.0053352876141155815,0.015755098414210595,9,1
11563,12112,ACER1,ENSG00000167769,0.02215713186256857,5.062413169559191e-34,1.4015523700886426e-32,83,1
14048,14806,OR52A1,ENSG00000182070,0.021832669197126876,1.570530886582452e-20,2.6166166378239778e-19,43,1
18568,24907,MIR130B,ENSG00000283871,0.021369659155607224,0.0005567137993270931,0.0020702031676850456,5,1
14056,14815,ZNF716,ENSG00000182111,0.021249299090294563,2.192608482469364e-50,9.256577892053921e-49,122,1
14549,15388,OR51M1,ENSG00000184698,0.021196147876566852,4.367888970004636e-22,7.806973963628976e-21,58,1
15754,16769,OR1J2,ENSG00000197233,0.020784592628479003,0.00037755945947759006,0.001452178406481155,5,1
2840,2960,CGB2,ENSG00000104818,0.02041541536649068,0.011501875240198245,0.03080594114857173,3,1
15647,16644,OR14A16,ENSG00000196772,0.020195093626777332,0.0013016709591968953,0.004490512127678696,6,1
15042,15951,LCE4A,ENSG00000187170,0.020021162927150726,0.004206268513401491,0.012797810282092257,4,1
17195,19646,,ENSG00000224242,0.019774865979949634,0.005239279612073695,0.015520802572896711,6,1
14964,15852,OR10H1,ENSG00000186723,0.019680940971514325,1.6829653480945517e-36,5.032713685167361e-35,81,1
15638,16633,LCE1B,ENSG00000196734,0.019433013030460904,0.0006288313495223549,0.0023117106783734098,7,1
14917,15801,DEFB132,ENSG00000186458,0.01939033220211665,0.0028331965674778287,0.009027911193500049,6,1
12287,12883,OR2K2,ENSG00000171133,0.01919174300772803,0.003946049553633934,0.012102636722265834,7,1
12146,12725,KRT75,ENSG00000170454,0.018950634946425755,2.6318601412825667e-06,1.433046694961561e-05,27,1
17934,21397,,ENSG00000262068,0.01882954780012369,0.012068288804324399,0.032106397075662006,6,1
13961,14707,UTS2R,ENSG00000181408,0.01863119813303153,0.002963234075269708,0.009403732626621215,6,1
12330,12928,ESCO2,ENSG00000171320,0.01820076874475641,1.3518649905542772e-153,2.0180640578994248e-151,457,1
115,121,KRT33A,ENSG00000006059,0.018088551796972753,5.64060165801739e-07,3.33714733476869e-06,20,1
1925,2004,OR1I1,ENSG00000094661,0.018005087611175353,5.568369161713195e-36,1.6388922485420858e-34,93,1
16260,17365,MIR371A,ENSG00000199031,0.017870008945465088,0.009255546546822244,0.025556155454824366,3,1
18554,24864,MIR1178,ENSG00000283768,0.017607584595680237,0.012093309240970324,0.032163789970995754,3,1
18336,24198,,ENSG00000274559,0.01680960754553477,0.010037077479770853,0.02736185036852069,6,1
17937,21412,,ENSG00000262164,0.016768096221817866,0.0008889517902987234,0.003169247307408135,9,1
16735,18292,MIR574,ENSG00000207944,0.016592403607709066,0.007157366617673934,0.020433975074326132,7,1
17105,19327,MIR1268A,ENSG00000221641,0.01657265890389681,0.010880878798806034,0.02937034549193123,4,1
10409,10898,ALPP,ENSG00000163283,0.016520444601774216,4.203621897526083e-06,2.2233442349160067e-05,25,1
14485,15315,KRTAP19-1,ENSG00000184351,0.016356401402374793,0.00024288180682319413,0.0009734051794073888,29,1
13997,14750,OR5T2,ENSG00000181718,0.016278625776370365,6.483164124228447e-06,3.3455708672041715e-05,12,1
9817,10278,GOLGA6A,ENSG00000159289,0.016201282540957134,0.004364054028596428,0.013226124439436307,6,1
12334,12932,KRT38,ENSG00000171360,0.016105443239212036,0.009516265139839584,0.026167625627675602,3,1
16942,18688,AS3MT,ENSG00000214435,0.015868231674413317,1.6013320595557772e-15,1.992787880646534e-14,46,1
15060,15974,FAM9C,ENSG00000187268,0.015759381729195703,2.9107330811091394e-18,4.24994360668987e-17,53,1
12590,13214,OR10H5,ENSG00000172519,0.015638823021751964,8.130981972521181e-37,2.4550829062661045e-35,129,1
15920,16964,HRNR,ENSG00000197915,0.015489711680195549,0.003802483580697415,0.011693200991399763,11,1
18655,25359,,ENSG00000286112,0.015471337549388408,2.334221121257907e-09,1.7814546471440716e-08,20,1
18449,24493,H2AB2,ENSG00000277858,0.015439172585805258,0.019202661576432408,0.04804527554521705,3,1
10101,10583,KRT82,ENSG00000161850,0.01522219181060791,0.006337220921733712,0.018341275952561513,8,1
12626,13254,OR4D9,ENSG00000172742,0.014968274764034492,0.0,0.0,1409,1
8151,8517,CCDC150,ENSG00000144395,0.014874740035550015,3.593915567801343e-64,1.966641187541732e-62,185,1
15241,16186,OR6C6,ENSG00000188324,0.01485934667289257,6.45966194676926e-12,6.284530340287508e-11,49,1
2504,2605,LUZP4,ENSG00000102021,0.014819941398772326,0.0012713692658662356,0.004398173989815342,11,1
9772,10229,WFDC8,ENSG00000158901,0.014433964259094663,0.013667116522565022,0.03576334235185294,9,1
