"Project ID","Sample ID","Original Metadata","Expression Matrix","Update Data"
"GBM-019","GBM-019-19-1D","GBM-019-19-1D.SraRunInfo.xlsx","GBM-019-19-1D.gene.expression.matrix.tsv.zip","2021/5/23"
"GBM-019","GBM-019-20-1D","GBM-019-20-1D.SraRunInfo.xlsx","GBM-019-20-1D.gene.expression.matrix.tsv.zip","2021/5/23"
"GBM-019","GBM-019-22-1D","GBM-019-22-1D.SraRunInfo.xlsx","GBM-019-22-1D.gene.expression.matrix.tsv.zip","2021/5/23"
"GBM-019","GBM-019-23-1D","GBM-019-23-1D.SraRunInfo.xlsx","GBM-019-23-1D.gene.expression.matrix.tsv.zip","2021/5/23"
"GBM-019","GBM-019-24-1D","GBM-019-24-1D.SraRunInfo.xlsx","GBM-019-24-1D.gene.expression.matrix.tsv.zip","2021/5/23"
"GBM-019","GBM-019-25-1D","GBM-019-25-1D.SraRunInfo.xlsx","GBM-019-25-1D.gene.expression.matrix.tsv.zip","2021/5/23"
"GBM-019","GBM-019-26-1D","GBM-019-26-1D.SraRunInfo.xlsx","GBM-019-26-1D.gene.expression.matrix.tsv.zip","2021/5/23"
"GBM-019","GBM-019-27-1D","GBM-019-27-1D.SraRunInfo.xlsx","GBM-019-27-1D.gene.expression.matrix.tsv.zip","2021/5/23"
"GBM-019","GBM-019-28-1D","GBM-019-28-1D.SraRunInfo.xlsx","GBM-019-28-1D.gene.expression.matrix.tsv.zip","2021/5/23"
"GBM-019","GBM-019-29-1D","GBM-019-29-1D.SraRunInfo.xlsx","GBM-019-29-1D.gene.expression.matrix.tsv.zip","2021/5/23"
"GBM-019","GBM-019-30-1D","GBM-019-30-1D.SraRunInfo.xlsx","GBM-019-30-1D.gene.expression.matrix.tsv.zip","2021/5/23"
"GBM-019","GBM-019-31-1D","GBM-019-31-1D.SraRunInfo.xlsx","GBM-019-31-1D.gene.expression.matrix.tsv.zip","2021/5/23"
"GBM-019","GBM-019-32-1D","GBM-019-32-1D.SraRunInfo.xlsx","GBM-019-32-1D.gene.expression.matrix.tsv.zip","2021/5/23"
"GBM-019","GBM-019-33-1D","GBM-019-33-1D.SraRunInfo.xlsx","GBM-019-33-1D.gene.expression.matrix.tsv.zip","2021/5/23"
"OV-020","OV-020-01-1A","OV-020-01-1A.sdrf.txt","OV-020-01-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"OV-020","OV-020-02-1A","OV-020-02-1A.sdrf.txt","OV-020-02-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"OV-020","OV-020-03-1A","OV-020-03-1A.sdrf.txt","OV-020-03-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"OV-020","OV-020-04-1A","OV-020-04-1A.sdrf.txt","OV-020-04-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"TNBC-021","TNBC-021-01-1A","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4476486","TNBC-021-01-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"TNBC-021","TNBC-021-02-1A","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4476487","TNBC-021-02-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"TNBC-021","TNBC-021-03-1A","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4476488","TNBC-021-03-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"TNBC-021","TNBC-021-04-1A","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4476489","TNBC-021-04-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"TNBC-021","TNBC-021-05-1A","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4476490","TNBC-021-05-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"MPAL-022","MPAL-022-01-1A","MPAL-022-01-1A.SraRunInfo.xlsx","MPAL-022-01-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"MPAL-022","MPAL-022-02-1A","MPAL-022-02-1A.SraRunInfo.xlsx","MPAL-022-02-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"MPAL-022","MPAL-022-03-1A","MPAL-022-03-1A.SraRunInfo.xlsx","MPAL-022-03-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"MPAL-022","MPAL-022-04-1A","MPAL-022-04-1A.SraRunInfo.xlsx","MPAL-022-04-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"MPAL-022","MPAL-022-05-1A","MPAL-022-05-1A.SraRunInfo.xlsx","MPAL-022-05-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"MPAL-022","MPAL-022-06-1A","MPAL-022-06-1A.SraRunInfo.xlsx","MPAL-022-06-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"MPAL-022","MPAL-022-07-1A","MPAL-022-07-1A.SraRunInfo.xlsx","MPAL-022-07-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"MPAL-022","MPAL-022-08-1A","MPAL-022-08-1A.SraRunInfo.xlsx","MPAL-022-08-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"MPAL-022","MPAL-022-09-1A","MPAL-022-09-1A.SraRunInfo.xlsx","MPAL-022-09-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"MPAL-022","MPAL-022-10-1A","MPAL-022-10-1A.SraRunInfo.xlsx","MPAL-022-10-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"MIUBC-023","MIUBC-023-01-1A","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4307111","MIUBC-023-01-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"UCEC-024","UCEC-024-01-1A","https://zenodo.org/record/3937811","UCEC-024-01-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"UCEC-024","UCEC-024-02-1A","https://zenodo.org/record/3937811","UCEC-024-02-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"UCEC-024","UCEC-024-03-1A","https://zenodo.org/record/3937811","UCEC-024-03-1A.gene.expression.matrix.tsv.zip","2021/5/23"
