,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
13574,14815,ZNF716,ENSG00000182111,0.05976987175825166,4.477998259942795e-25,4.2036017708228955e-23,41,1
13486,14707,UTS2R,ENSG00000181408,0.04466112703084946,0.0037852838702590375,0.019988835949231447,3,1
15094,16644,OR14A16,ENSG00000196772,0.04449000209569931,0.0008324603147649429,0.005635312479851059,4,1
11904,12883,OR2K2,ENSG00000171133,0.04447778562704722,0.007992015229393083,0.036379438939471015,3,1
16456,19646,,ENSG00000224242,0.04325681626796722,0.00014861947997336022,0.0012543455679435013,5,1
16491,19715,DCAF8L1,ENSG00000226372,0.041737452149391174,0.0008203367462171021,0.005568193422015161,4,1
17043,21114,OR4C13,ENSG00000258817,0.04060354828834534,5.187551562197108e-05,0.0004893100479404306,6,1
17629,25172,MIR3614,ENSG00000284542,0.040206064780553184,0.0032492125041574185,0.017627452282007416,3,1
11215,12112,ACER1,ENSG00000167769,0.03869057881335417,7.739872714779824e-17,3.993955370480536e-15,30,1
14952,16471,SULT1C3,ENSG00000196228,0.03799331684907278,0.003930550375511208,0.020534740386921786,3,1
17586,24907,MIR130B,ENSG00000283871,0.03794827163219452,0.0004232252472205749,0.0031251377250831407,5,1
16488,19712,OR52I2,ENSG00000226288,0.03702750163418906,2.8031503990561842e-05,0.00028317114048393555,7,1
8874,9579,RGPD3,ENSG00000153165,0.03688486168781916,0.004386749284810706,0.022433309585146142,3,1
17524,24608,TSTD3,ENSG00000279170,0.03666719361659019,5.674129718977617e-17,2.962634357411745e-15,31,1
15955,17899,OR52J3,ENSG00000205495,0.03644207864999771,0.002520044420251898,0.014272703443069799,4,1
15199,16769,OR1J2,ENSG00000197233,0.03597868047654629,0.0010378556448820116,0.006778710740517298,4,1
16712,20325,KRTAP10-5,ENSG00000241123,0.03470994085073471,0.001048173240937916,0.006833454509077333,5,1
16317,18796,KRTAP10-1,ENSG00000215455,0.03347723186016083,0.005773685146859897,0.028108688406009233,3,1
13661,14923,KRTAP11-1,ENSG00000182591,0.0326409325976898,8.24064471435363e-53,2.3456596438534334e-50,111,1
15956,17901,OR51A4,ENSG00000205497,0.03258894830942154,0.0010583989461059222,0.006887398451650928,5,1
17576,24861,MIR20A,ENSG00000283762,0.03162879095627712,1.8526509908226482e-07,2.950865043866254e-06,13,1
14704,16186,OR6C6,ENSG00000188324,0.0315080334742864,7.381738558062872e-11,1.9157782657749055e-09,21,1
13568,14806,OR52A1,ENSG00000182070,0.03134901303312053,1.5082458700415685e-13,5.68750493899436e-12,23,1
4997,5365,HOXC12,ENSG00000123407,0.03020785691646429,5.77629177551913e-08,1.0023598550084721e-06,13,1
13981,15315,KRTAP19-1,ENSG00000184351,0.02988372975960374,1.057089119459817e-05,0.00011997111755772895,12,1
13522,14750,OR5T2,ENSG00000181718,0.02975250283877055,0.004842569939654596,0.02435499409946546,3,1
10719,11562,SSX5,ENSG00000165583,0.029644635505974293,0.0025093263207773536,0.014239418298739143,4,1
12226,13254,OR4D9,ENSG00000172742,0.029405254530778725,6.61411548100295e-256,1.6675130001248582e-252,559,1
13527,14755,OR8K5,ENSG00000181752,0.029402126868565876,0.00570512350094631,0.027858769563895554,3,1
12335,13376,CST9,ENSG00000173335,0.02934146672487259,0.001530726693960875,0.009366943375527573,4,1
2443,2605,LUZP4,ENSG00000102021,0.029070650537808735,0.0013480162622786077,0.008454083509841104,6,1
4325,4647,ZP4,ENSG00000116996,0.02899348270148039,0.0010607043704193534,0.006897405765655617,4,1
1880,2004,OR1I1,ENSG00000094661,0.028851948264572356,9.978401571881515e-18,5.626160732925398e-16,36,1
14327,15722,OR5D14,ENSG00000186113,0.028515790899594624,0.011671639422633216,0.049407793842799475,3,1
15998,17966,BHLHA9,ENSG00000205899,0.028471078723669052,0.002295927366520973,0.013237022595348622,5,1
10094,10898,ALPP,ENSG00000163283,0.02782841907306151,1.9268843940483205e-07,3.060815102265055e-06,11,1
17114,21412,,ENSG00000262164,0.027421829290688038,0.011077363258021016,0.04748440776719818,4,1
16573,19933,OR52I1,ENSG00000232268,0.02713529571644531,2.4442581733705774e-56,7.567766358534026e-54,121,1
13532,14762,OR5AS1,ENSG00000181785,0.026749019357788412,2.6379070847071985e-35,3.945235951772257e-33,79,1
4794,5154,RGSL1,ENSG00000121446,0.026008466688486245,4.5543949096544716e-07,6.765653313601187e-06,13,1
12587,13666,OR10AG1,ENSG00000174970,0.025990962982177734,0.0013859410456289502,0.008651958816151295,5,1
