,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
9005,13254,OR4D9,ENSG00000172742,0.02697209268808365,8.755050180650584e-05,0.04308214276395141,10,1
11586,20865,ZFP91-CNTF,ENSG00000255073,0.01957329565828497,4.31114561221333e-05,0.025457314840119715,11,1
3802,5212,RPL21,ENSG00000122026,0.007522975416997304,1.813180410327738e-08,4.2827321291941174e-05,104,1
9724,14679,NPM1,ENSG00000181163,0.007123694121320214,1.9016257502763756e-06,0.0022458200110763997,72,1
2689,3664,RPL34,ENSG00000109475,0.006625646035760068,3.6176365955012083e-09,1.0681072048217317e-05,104,1
5288,7379,RPS6,ENSG00000137154,0.005978220742410765,4.4043837283138366e-07,0.0007430824547340916,104,1
2276,3081,RPS19,ENSG00000105372,0.004993068511664335,1.3362043934465698e-05,0.011271838490431422,112,1
7846,11319,RPS14,ENSG00000164587,0.00442476657811891,5.886038158142154e-05,0.033101957451266116,110,1
11122,17905,TMSB4X,ENSG00000205542,-0.004633582839742303,1.0406228645436365e-06,0.0015362195037825434,100,1
2560,3482,RPL28,ENSG00000108107,-0.004923885623956549,5.090659670279227e-06,0.005010057558833139,87,1
10973,17295,MT-ND4,ENSG00000198886,-0.0051826974377036095,1.7638316134569477e-05,0.013887234236617703,80,1
6979,9945,EEF1A1,ENSG00000156508,-0.00526748303520052,3.5786071156079727e-06,0.0038421227304845595,95,1
8703,12698,FOS,ENSG00000170345,-0.005389586146477433,6.316343894229206e-05,0.03390728245038497,84,1
9303,13810,SFN,ENSG00000175793,-0.005621318239718676,4.219244959151181e-05,0.025457314840119715,62,1
10916,17208,MT-CYB,ENSG00000198727,-0.005948926217388362,1.2982305662916373e-06,0.0017035669986560263,80,1
1888,2522,CST3,ENSG00000101439,-0.005980179528705776,3.481831480819912e-05,0.022844683215823978,56,1
1316,1720,FTL,ENSG00000087086,-0.006159284292201026,1.2108980619299355e-05,0.011000543162609644,113,1
5371,7502,RPLP1,ENSG00000137818,-0.0062923727673478425,3.2787911974892632e-09,1.0681072048217317e-05,112,1
10980,17303,MT-ATP6,ENSG00000198899,-0.006449706999486999,3.4163268988315904e-07,0.0006724470112533514,76,1
4049,5583,AHNAK,ENSG00000124942,-0.006866397275386945,3.443869577888734e-05,0.022844683215823978,46,1
4662,6489,DNAJB1,ENSG00000132002,-0.007226602244630175,2.3998312791181356e-05,0.017713754628990736,53,1
82,111,LAMP2,ENSG00000005893,-0.010342105679834882,7.650268791556015e-05,0.03928246714272893,24,1
8376,12172,FTH1,ENSG00000167996,-0.01385399791331071,5.621361999546994e-18,3.3194142607325e-14,92,1
6042,8456,RPS27A,ENSG00000143947,-0.021165903858548284,9.922765684695967e-45,1.1718786273625937e-40,102,1
8551,12450,OR10G3,ENSG00000169208,0.10079178214073181,0.08327068398466789,0.7824003631298813,1,0
11794,24881,MIR29B1,ENSG00000283797,0.08044376969337463,0.08327685169124326,0.7824003631298813,1,0
11793,24861,MIR20A,ENSG00000283762,0.07665503770112991,0.08328301976787358,0.7824003631298813,1,0
11389,19934,,ENSG00000232308,0.06421330571174622,0.08330152621824263,0.7824003631298813,1,0
11747,24306,CCL15-CCL14,ENSG00000275688,0.06372694671154022,0.083307695775241,0.7824003631298813,1,0
11795,24896,MIR6764,ENSG00000283840,0.05905582010746002,0.08336941170476143,0.7824003631298813,1,0
11782,24608,TSTD3,ENSG00000279170,0.05641913414001465,0.08339410844349689,0.7824003631298813,1,0
9839,14923,KRTAP11-1,ENSG00000182591,0.050981245934963226,0.014880150247514712,0.7824003631298813,2,0
