,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
12881,14815,ZNF716,ENSG00000182111,0.08378276228904724,2.2852565547428944e-07,1.553687604937962e-05,9,1
10143,11414,DCSTAMP,ENSG00000164935,0.05031369378169378,0.00356165560260099,0.048673962898791834,3,1
16179,24608,TSTD3,ENSG00000279170,0.04571388579077191,7.932464070338808e-07,4.4141989273607975e-05,9,1
13849,16186,OR6C6,ENSG00000188324,0.042240362614393234,0.0009848945823379442,0.018185854623192336,4,1
10746,12112,ACER1,ENSG00000167769,0.037069824834664665,0.0001225639145983583,0.0034635496492325633,6,1
12958,14923,KRTAP11-1,ENSG00000182591,0.035965593655904134,4.6325554501215765e-18,1.3686253365277362e-15,30,1
1835,2004,OR1I1,ENSG00000094661,0.03571228943765163,1.047099246817226e-06,5.65259656529339e-05,10,1
11021,12450,OR10G3,ENSG00000169208,0.03466047332794578,5.221089500928035e-16,1.3051920507781482e-13,27,1
11669,13254,OR4D9,ENSG00000172742,0.034593113285840534,2.114651904144691e-59,4.908711255778155e-56,122,1
15753,20811,CHKB-CPT1B,ENSG00000254413,0.03301154375076294,0.0002350271631892308,0.005887241262918447,5,1
12875,14806,OR52A1,ENSG00000182070,0.03164726495742798,0.0005309496380585246,0.011427020753394657,5,1
9684,10898,ALPP,ENSG00000163283,0.030183814465999603,0.00010301464622555033,0.002999793882650479,6,1
16109,24306,CCL15-CCL14,ENSG00000275688,0.029878643341362476,2.3571735121604535e-05,0.0008673807969889155,8,1
15441,19933,OR52I1,ENSG00000232268,0.02983949389308691,1.842933273507906e-10,2.4545756361663906e-08,20,1
13994,16380,NUGGC,ENSG00000189233,0.02936349170548575,0.002275271744035214,0.03451997251991428,7,1
12844,14762,OR5AS1,ENSG00000181785,0.028931146021932364,6.1586398548009866e-12,1.0533867263227497e-09,24,1
13054,15054,CHST6,ENSG00000183196,0.02656411286443472,8.312829682361375e-05,0.0024875721824804786,10,1
15442,19934,,ENSG00000232308,0.026123400639604638,8.568238784266457e-09,8.001454712962394e-07,27,1
15817,21012,CLLU1,ENSG00000257127,0.025833917316049337,7.972617291180242e-05,0.00242356610998276,8,1
15027,18028,,ENSG00000206461,0.025405404945978753,9.504024372042617e-07,5.18224469870203e-05,13,1
15774,20865,ZFP91-CNTF,ENSG00000255073,0.024994626310136582,2.926967941924971e-33,1.829242388013033e-30,90,1
8840,9930,FUT6,ENSG00000156413,0.024616750489388193,9.192889742308777e-07,5.0294702162550614e-05,14,1
5512,6149,SGO1,ENSG00000129810,0.02390477480366826,0.0008099276684817501,0.015611523944436484,8,1
