,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
17353,22459,MIR3121,ENSG00000265435,0.04824847479661306,0.0029091272350537704,0.014614607862467417,3,1
16048,17894,KRTAP10-2,ENSG00000205445,0.031979708932340145,0.00340074748716095,0.016629094649444436,3,1
17781,25172,MIR3614,ENSG00000284542,0.03017396107316017,0.0008249560961404306,0.004932278654754292,5,1
11937,12883,OR2K2,ENSG00000171133,0.026189512573182583,0.0009679439187599305,0.005678455441663811,4,1
13649,14815,ZNF716,ENSG00000182111,0.02483226985204965,1.5530031854958593e-42,1.8551613220564297e-40,80,1
14053,15315,KRTAP19-1,ENSG00000184351,0.02466084932287534,0.004078796623529408,0.019246686400371135,3,1
3393,3643,SMR3A,ENSG00000109208,0.024474245806535084,0.006083895777870689,0.026856959561091364,3,1
12918,13995,OR51H1,ENSG00000176904,0.02229304611682892,5.2085817424247234e-05,0.00041915160394916275,6,1
15880,17563,AWAT1,ENSG00000204195,0.022276006639003754,0.011752185350303224,0.046288370668299855,4,1
16486,19280,MIR1303,ENSG00000221552,0.02165742889046669,0.0036278051294396795,0.01752749823531402,5,1
17135,21013,TAS2R38,ENSG00000257138,0.02138926461338997,0.0008561407776780957,0.005096471472204824,4,1
13591,14750,OR5T2,ENSG00000181718,0.021153463671604793,1.3088610191037137e-06,1.428351764501962e-05,9,1
12629,13666,OR10AG1,ENSG00000174970,0.020831525325775146,0.0005309151340761329,0.003354546848214799,8,1
12832,13887,OR4L1,ENSG00000176246,0.020329949756463368,0.005031128803294778,0.022943648877746286,3,1
17266,21604,,ENSG00000263243,0.019298751652240754,0.007702440202649448,0.03269633512209815,5,1
11465,12366,OR13J1,ENSG00000168828,0.01874159323051572,0.001476361496098247,0.008220706059307272,4,1
14596,15962,LCE2D,ENSG00000187223,0.018541506491601467,4.8708103966579725e-05,0.0003944292732034361,7,1
11049,11886,OR4D6,ENSG00000166884,0.018119172503550846,0.005718776797433268,0.025587860285951416,3,1
13642,14806,OR52A1,ENSG00000182070,0.017494170786812903,3.365972318519078e-12,7.279579744510459e-11,20,1
14515,15852,OR10H1,ENSG00000186723,0.016164496461761758,1.1116882961838082e-22,5.207089469414632e-21,47,1
13735,14923,KRTAP11-1,ENSG00000182591,0.01616248921217287,2.4875037768627897e-73,5.604440471440607e-71,153,1
13991,15246,OR2T10,ENSG00000184022,0.016008181683719157,0.0004388590806713001,0.0028270911244547485,5,1
12822,13875,OR4D11,ENSG00000176200,0.01573156751692295,0.00804325607040724,0.03394071000407266,4,1
17714,24767,MIR1279,ENSG00000283476,0.01570231591661771,0.00042158468633141734,0.002731629352753148,6,1
14669,16052,OR52B6,ENSG00000187747,0.015032107941806316,0.0015258397048874418,0.008447409302423508,8,1
13555,14707,UTS2R,ENSG00000181408,0.014875988165537516,0.00977444165287362,0.039884293209421724,3,1
17728,24861,MIR20A,ENSG00000283762,0.014822942670434713,4.3358988190769877e-07,5.107522374636089e-06,16,1
17745,24934,MIR4709,ENSG00000283944,0.014681770192349659,3.9942933463522524e-06,4.0098379735884794e-05,17,1
12527,13554,OR2Y1,ENSG00000174339,0.014587687328457832,0.0013389993344057383,0.007568386520510554,4,1
17784,25213,OR8S1,ENSG00000284723,0.014364104097088179,0.0012992999121409295,0.0073697384117898035,6,1
16602,19715,DCAF8L1,ENSG00000226372,0.01402288923660914,0.007046765508058544,0.030366102066483387,3,1
12264,13254,OR4D9,ENSG00000172742,0.013962945530519766,0.0,0.0,850,1
14113,15388,OR51M1,ENSG00000184698,0.013951909555881112,1.1098184170965617e-13,2.755042957587406e-12,27,1
16687,19933,OR52I1,ENSG00000232268,0.013939085208611297,7.556654050115375e-105,2.690017708760071e-102,224,1
17732,24879,MIR4426,ENSG00000283795,0.0138936135917902,3.313034464062143e-05,0.0002790757237380127,9,1
11802,12725,KRT75,ENSG00000170454,0.013777354466063636,6.926158608502626e-06,6.60303680089653e-05,14,1
1883,2004,OR1I1,ENSG00000094661,0.013753892412703288,2.81935653019247e-26,1.6135603498680312e-24,57,1
11243,12112,ACER1,ENSG00000167769,0.013666041446133302,7.349811476031636e-26,4.1398510905660474e-24,52,1
11542,12450,OR10G3,ENSG00000169208,0.01292670366062215,3.48070622722369e-79,8.486724676486913e-77,169,1
16545,19493,C21orf140,ENSG00000222018,0.012786785140633583,0.00949783941563677,0.03890725978341056,4,1
14780,16186,OR6C6,ENSG00000188324,0.012717530131340027,6.612386825389599e-09,1.0033578269830306e-07,28,1
17756,25026,MIR219A2,ENSG00000284185,0.01253354421351105,1.734062129671707e-05,0.00015416869053959395,8,1
12302,13297,MRGPRD,ENSG00000172938,0.012528278748504817,1.978901996313747e-08,2.784385504536631e-07,16,1
12108,13075,OR10H3,ENSG00000171936,0.012324397762616476,0.006590733320925541,0.028674764697910953,3,1
16028,17873,OR6C1,ENSG00000205330,0.012194457463920116,0.01126386987046426,0.04466153259621149,5,1
17081,20865,ZFP91-CNTF,ENSG00000255073,0.012174868562450522,3.9304060927282934e-110,1.520810827053715e-107,272,1
16593,19696,NTF4,ENSG00000225950,0.012169135468346732,0.0022270716215234457,0.011634766008657415,7,1
16400,18768,GOLGA6B,ENSG00000215186,0.012061561768253645,0.005441174996268363,0.024530768429225074,3,1
15049,16499,CGB7,ENSG00000196337,0.011901229619979858,0.011156151643492243,0.04431339948728374,3,1
17797,25382,H3C3,ENSG00000287080,0.011810288928887424,2.1400814293726555e-07,2.6215629292088022e-06,17,1
13603,14762,OR5AS1,ENSG00000181785,0.011724298670536504,2.479237397750926e-47,3.3178907099675733e-45,106,1
17079,20859,OR5M1,ENSG00000255012,0.011674589167038599,0.0001260197913449664,0.0009241970606300192,6,1
10933,11765,OR10A5,ENSG00000166363,0.011634889990091324,0.00014406595744460217,0.0010427938090916934,7,1
15771,17411,MIR367,ENSG00000199169,0.01153607169787089,0.006754620054613653,0.029251942178118835,3,1
16063,17920,HTN3,ENSG00000205649,0.011381128802895546,3.498861060946223e-09,5.560377502123376e-08,39,1
8410,9042,LCN9,ENSG00000148386,0.011359423398971558,0.012253684470737243,0.0478191909437957,6,1
17793,25313,,ENSG00000285777,0.011079119474050544,4.916495167143729e-08,6.589510352408979e-07,21,1
16135,18028,,ENSG00000206461,0.011039405323875448,1.7602036903167776e-10,3.158252568946404e-09,24,1
11894,12833,OR7G2,ENSG00000170923,0.011032778034476857,5.638982824661858e-07,6.5174191750750914e-06,19,1
17680,24608,TSTD3,ENSG00000279170,0.010698981024324894,4.993738285931704e-14,1.2881673587144698e-12,35,1
4804,5154,RGSL1,ENSG00000121446,0.010624991514934944,4.054480703614706e-11,7.740568038023325e-10,26,1
17361,22519,CFAP298-TCP10L,ENSG00000265590,0.010422289716424766,2.7780628471077164e-10,4.85724367540965e-09,27,1
14659,16040,OR2T27,ENSG00000187701,0.010339902275625397,0.00020436281489163348,0.0014250832503518993,17,1
7801,8380,FLG2,ENSG00000143520,0.010163093784025736,8.85599403800703e-06,8.300570715244188e-05,14,1
