,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
16086,17815,OR5D16,ENSG00000205029,0.08821687599023183,0.0027081395236036444,0.010605363211337489,3,1
17586,22732,MIR4423,ENSG00000266110,0.08013380567232768,0.0027040536117994176,0.010593955432044347,3,1
16703,19543,MIR1468,ENSG00000222532,0.07932381331920624,0.014369737186535812,0.04419293535491478,2,1
12485,13445,OR1L1,ENSG00000173679,0.07247469574213028,0.014339482684410244,0.04411491054050938,2,1
11181,11998,OR51I1,ENSG00000167359,0.05845443904399872,0.014541587031684209,0.044569692861787455,2,1
17618,23019,MIR548H5,ENSG00000266807,0.05408234894275665,0.01444611060347092,0.044359848385466964,2,1
17456,21751,MIR4632,ENSG00000263676,0.050648098811507225,0.014529745435484007,0.0445485151547893,2,1
16265,18139,MIR28,ENSG00000207651,0.050602199509739876,0.014534678400223494,0.04455607760054937,2,1
16253,18080,MIR30B,ENSG00000207582,0.04781213402748108,0.015511478182478968,0.046929300513562644,3,1
16720,19646,,ENSG00000224242,0.04690844565629959,0.01585500911144439,0.047840444228869704,4,1
17791,24273,MIR6124,ENSG00000275373,0.04579278454184532,0.002799652210774539,0.010902288680241873,3,1
14748,16054,SSX7,ENSG00000187754,0.044745802879333496,0.015215363229374227,0.04623474125124397,2,1
16013,17658,PRAMEF19,ENSG00000204480,0.043883711099624634,0.0154480680519777,0.04678446762095175,2,1
11980,12883,OR2K2,ENSG00000171133,0.04349029312531153,8.112127050418733e-05,0.0004730328443054048,6,1
16313,18366,MIR190A,ENSG00000211137,0.043432608246803284,0.014793236006150843,0.045225894136252325,2,1
17546,22459,MIR3121,ENSG00000265435,0.04292170703411102,0.0008334997451670226,0.003795172583458386,4,1
17536,22406,MIR3195,ENSG00000265306,0.040670815855264664,0.01507315073979574,0.04594945462612387,2,1
17987,24907,MIR130B,ENSG00000283871,0.04059223234653473,0.00017721973294716,0.0009576651138768906,5,1
11906,12795,OR10A4,ENSG00000170782,0.038818396627902985,0.015342189849695246,0.046526214476203566,2,1
15363,16769,OR1J2,ENSG00000197233,0.03823230788111687,0.00013939688287291499,0.0007668101976550575,5,1
15844,17345,MIR30E,ENSG00000198974,0.036232827231287956,0.01597643473050755,0.04814128358850512,2,1
14665,15951,LCE4A,ENSG00000187170,0.03573347628116608,0.006041230654599383,0.021265555684983995,3,1
16154,17899,OR52J3,ENSG00000205495,0.03566003466645876,0.004333821196493975,0.016016873959628405,3,1
17416,21497,OR1D5,ENSG00000262628,0.03494173288345337,0.015473073832429806,0.04685234307456326,2,1
13707,14815,ZNF716,ENSG00000182111,0.034437541417511444,1.844386661687399e-57,2.1777022904171807e-55,112,1
17506,22157,NPY4R2,ENSG00000264717,0.03395548835396767,0.016307575859511807,0.04897695060716223,2,1
13613,14707,UTS2R,ENSG00000181408,0.03218806907534599,0.0002556421446105167,0.0013278249978116688,6,1
5517,5903,OR7C2,ENSG00000127529,0.03181414306163788,0.003602258459566208,0.013625376690130558,3,1
15257,16644,OR14A16,ENSG00000196772,0.031395141035318375,0.0022577532233521496,0.009079766691864779,4,1
18046,25172,MIR3614,ENSG00000284542,0.03010420873761177,0.0008176384901460808,0.0037356194548530475,6,1
17693,23863,UGT2A2,ENSG00000271271,0.03006933629512787,0.01653830494343731,0.049562786795486896,2,1
17994,24944,GNG14,ENSG00000283980,0.028616954882939655,0.005108931039089221,0.01841804813832504,3,1
16793,19806,CLDN25,ENSG00000228607,0.028532952070236206,0.005107003309057898,0.01841477340880857,4,1
15851,17365,MIR371A,ENSG00000199031,0.028448117276032765,0.00524183081955554,0.018825780070630384,3,1
16753,19712,OR52I2,ENSG00000226288,0.027653351426124573,0.0002049738254080524,0.001087155653551517,8,1
14118,15315,KRTAP19-1,ENSG00000184351,0.027477484196424484,2.1035623547361365e-06,1.638674167240548e-05,12,1
16151,17894,KRTAP10-2,ENSG00000205445,0.027401983737945557,0.00535699483839874,0.019197403641276183,3,1
16756,19715,DCAF8L1,ENSG00000226372,0.025665365159511566,4.076041883549147e-05,0.0002525953121005598,7,1
15647,17117,KRTAP4-1,ENSG00000198443,0.025413338094949722,0.015087021822116896,0.04597622287728437,6,1
17437,21604,,ENSG00000263243,0.02539176618059476,0.0034501973333450776,0.013102336520260422,6,1
16577,18883,MIR298,ENSG00000216031,0.02524050176143646,0.0021382120728423875,0.008668492166942939,5,1
12680,13666,OR10AG1,ENSG00000174970,0.023933272808790207,4.225801635190161e-06,3.150602828712763e-05,12,1
13802,14932,OR10G7,ENSG00000182634,0.02389330565929413,0.013703599561785679,0.04251339963655475,5,1
13700,14806,OR52A1,ENSG00000182070,0.02370115340148148,1.871533180065754e-19,5.0386359013245676e-18,38,1
4339,4647,ZP4,ENSG00000116996,0.023562895754973095,0.0010224736185564837,0.004550868507381416,6,1
13072,14106,OR2G2,ENSG00000177489,0.022885570923487347,0.01275526587783814,0.040115577660714836,3,1
17302,21013,TAS2R38,ENSG00000257138,0.022462124470621347,0.0016927291823116352,0.007094931015883919,4,1
3395,3643,SMR3A,ENSG00000109208,0.022332278390725453,0.01323989576940485,0.04135420109933243,3,1
16990,20325,KRTAP10-5,ENSG00000241123,0.022258958646229336,0.00097503279720883,0.004358814026621509,7,1
4803,5144,TAS2R7,ENSG00000121377,0.02220963438351949,0.006038469534116614,0.021259978977551476,3,1
16632,19280,MIR1303,ENSG00000221552,0.022164559364318846,0.015699278422346186,0.047441864285661405,5,1
13794,14923,KRTAP11-1,ENSG00000182591,0.02184788539655443,3.502704775611713e-101,7.811896514990814e-99,234,1
17333,21114,OR4C13,ENSG00000258817,0.02180100977420807,4.10210515254387e-05,0.00025395657841228585,10,1
